Loop #,Recipe,Lot Start Time,Lot ID,Test ID,Site #,Slot #,Dynamic Iteration#,WaferId,Field X,Field Y,Cell X,Cell Y,T2,T4,L4/Nosc0,L4/Nosc1,L4/Nosc2,L4/Nosc3,L4/Nosc4,T3,T1,NGOF,Wafer X,Wafer Y,X Location,Y Location,Static Iteration,Status
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,11,1,1,CA1413.00.01,11,11,0,0,2848.8201,47155.5,26.6074,47.1305,-7.5982,569.273,-179.682,2319.5801,2680.29,0.9864,-11612.9,66149.9,-11612.9,66149.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,12,1,1,CA1413.00.01,12,12,0,0,2845.8601,44748.6016,29.1644,51.0823,-1.2122,608.091,-193.789,2243.03,2760.6899,0.9828,-70265.9,-2498.9,-70265.9,-2498.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,13,1,1,CA1413.00.01,13,13,0,0,2859.9299,48490.6992,25.6225,46.0819,-7.1395,550.773,-173.487,2366.3401,2632.6499,0.9883,-7643.9,-73058.9,-7643.9,-73058.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,14,1,1,CA1413.00.01,14,14,0,0,2858.4199,46864.6992,26.9889,47.2402,-4.2509,577.216,-185.082,2452.9299,2546.26,0.9887,74234.9,-18521.9,74234.9,-18521.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,15,1,1,CA1413.00.01,15,15,0,0,2953.8799,45767.8984,27.7707,48.2769,-4.6856,592.033,-190.128,2299.8401,2701.46,0.987,29693.9,73646.9,29693.9,73646.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,16,1,1,CA1413.00.01,16,16,0,0,2997.3601,47028.5,26.0143,46.2356,-5.2194,559.757,-178.502,2241.53,2763.4099,0.9886,-71147.9,41159.9,-71147.9,41159.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,17,1,1,CA1413.00.01,17,17,0,0,2941.3899,46045.8008,27.3584,48.1399,-2.8433,582.191,-186.619,2240.0901,2764.3201,0.986,-52184.9,-66884.9,-52184.9,-66884.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,18,1,1,CA1413.00.01,18,18,0,0,2915.55,47710.1016,25.7665,45.4458,-7.7822,560.686,-179.225,2459.3999,2539.9399,0.9895,60710.9,-62915.9,60710.9,-62915.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,19,1,1,CA1413.00.01,19,19,0,0,3052.97,45315.8984,27.6776,47.5744,-3.4458,594.902,-193.804,2282.3,2720.29,0.9871,72764.9,52919.9,72764.9,52919.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,20,1,1,CA1413.00.01,20,20,0,0,3087.02,45149.1016,27.5965,47.8279,-3.9907,589.043,-190.041,2142.8301,2871.8,0.984,-43364.9,81731.9,-43364.9,81731.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,21,1,1,CA1413.00.01,21,21,0,0,3051.54,45918.1992,26.4763,46.322,-2.8168,569.818,-184.385,2182.3401,2828.3401,0.9876,-89228.9,-32486.9,-89228.9,-32486.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,22,1,1,CA1413.00.01,22,22,0,0,3163.8101,45554.8984,30.8768,43.0573,-47.1389,839.225,-312.759,2307.5901,2694.71,0.9897,20285.9,-95108.9,20285.9,-95108.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,23,1,1,CA1413.00.01,23,23,0,0,3121.28,45239.6992,27.3014,46.7809,-5.1377,597.587,-196.706,2247.8201,2757.0701,0.9881,99224.9,6908.9,99224.9,6908.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,24,1,1,CA1413.00.01,24,24,0,0,3211.26,46132.3008,25.6871,44.6766,-4.9015,565.886,-185.442,2198.1299,2811.9299,0.9891,7055.9,101576.9,7055.9,101576.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,25,1,1,CA1413.00.01,25,25,0,0,3225.4299,44687.3008,31.1299,42.2343,-44.9157,846.61,-319.044,2049.3701,2977.3301,0.9864,-101723.9,21608.8999,-101723.9,21608.8999,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,26,1,1,CA1413.00.01,26,26,0,0,3258.48,46083.6992,28.5717,40.0543,-44.443,804.429,-302.874,2155.72,2858.4199,0.9895,-36308.9,-99665.8999,-36308.9,-99665.8999,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,27,1,1,CA1413.00.01,27,27,0,0,3219.53,44368.1016,27.8268,47.2454,-4.2721,608.265,-201.737,2330.1699,2671.4299,0.9885,95549.8999,-50861.9,95549.8999,-50861.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,28,1,1,CA1413.00.01,28,28,0,0,3285.22,44908.8008,26.7205,46.8334,-5.2768,585.015,-191.045,2075.71,2946.74,0.9884,64826.9,89228.9,64826.9,89228.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,29,1,1,CA1413.00.01,29,29,0,0,3288.5801,45970.6016,25.3522,44.1318,-2.8408,555.831,-182.389,1935.89,3106.1399,0.9854,-80702.9,78056.9,-80702.9,78056.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,30,1,1,CA1413.00.01,30,30,0,0,3227.6499,44439,26.8041,47.5735,-4.2688,583.748,-189.679,2004.72,3025.5,0.9845,-90110.9,-70412.8999,-90110.9,-70412.8999,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,31,1,1,CA1413.00.01,31,31,0,0,3276.5601,44292.3008,27.7309,46.9491,-1.8458,602.444,-200.203,2011.51,3019.4199,0.9865,58064.9,-100694.9,58064.9,-100694.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,32,1,1,CA1413.00.01,32,32,0,0,3318.78,44725.1016,26.9545,46.46,-4.2877,593.946,-196.929,1616.6801,3460.55,0.9874,109514.9,44246.8999,109514.9,44246.8999,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,33,1,1,CA1413.00.01,33,33,0,0,3264.24,46411.6992,24.9075,43.9869,-5.258,552.149,-180.34,1897.97,3146.52,0.9872,-29105.9,116423.9,-29105.9,116423.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,34,1,1,CA1413.00.01,34,34,0,0,3186.9199,45389.5,25.3582,44.6078,-4.6604,558.559,-182.297,1926.71,3114.25,0.9861,-121274.9,-12788.9,-121274.9,-12788.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,35,1,1,CA1413.00.01,35,35,0,0,3328.3301,45251.8008,25.8368,44.6476,-3.999,572.738,-189.904,1758.12,3305.3601,0.9826,-4262.9,-123626.9,-4262.9,-123626.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,36,1,1,CA1413.00.01,36,36,0,0,3165.6799,45409,26.4826,46.0118,-7.71,583.04,-190.129,1577.7,3500,0.9879,123626.9,-21755.9,123626.9,-21755.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,37,1,1,CA1413.00.01,37,37,0,0,3134.03,45017.8008,26.7122,46.2431,-6.2441,584.637,-190.791,1577.35,3500,0.9872,39395.9,121127.9,39395.9,121127.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,38,1,1,CA1413.00.01,38,38,0,0,3132.98,44331.5,27.0848,46.9819,-3.327,579.234,-187.168,1743.59,3320.21,0.9758,-115982.9,56594.9,-115982.9,56594.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,39,1,1,CA1413.00.01,39,39,0,0,3032.4299,43149.1016,28.9225,49.7021,-5.19,611.138,-196.013,1878.95,3167.28,0.9796,-73205.9,-108485.9,-73205.9,-108485.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,40,1,1,CA1413.00.01,40,40,0,0,2959.71,45931.3008,26.3301,44.7713,-9.5071,582.714,-190.693,3242.6101,1826.42,0.9814,98489.9,-88640.9,98489.9,-88640.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,41,1,1,CA1413.00.01,41,41,0,0,3002.3,43631.5,28.6322,47.6655,-7.453,624.963,-206.754,1575.64,3500,0.9862,102752.9,86288.9,102752.9,86288.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,42,1,1,CA1413.00.01,42,42,0,0,2940.2,46604.5,25.8406,45.3545,-7.7431,553.729,-174.982,1834.8199,3213.7,0.9843,-72029.9,115247.9,-72029.9,115247.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,43,1,1,CA1413.00.01,43,43,0,0,2830.96,44990.6992,27.2172,47.1338,-6.3997,577.719,-183.233,2076.48,2938.0801,0.9812,-125684.9,-55859.9,-125684.9,-55859.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,44,1,1,CA1413.00.01,44,44,0,0,2939,45343,26.8873,45.9795,-6.9103,582.656,-188.725,1616.15,3453.1599,0.9859,38366.9,-133769.9,38366.9,-133769.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,45,1,1,CA1413.00.01,45,45,0,0,2885.9199,43348.1016,29.8007,49.7019,-5.9216,632.318,-205.394,1781.67,3270.27,0.9846,139355.9,19550.9,139355.9,19550.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,46,1,1,CA1413.00.01,46,46,0,0,2884.54,46745.1016,25.5851,44.6237,-8.9956,562.029,-180.963,2261.8301,2739.73,0.9871,0,142295.9,0,142295.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,47,1,1,CA1413.00.01,47,47,0,0,2937.8999,44710.6992,26.4818,45.6818,-8.2831,581.779,-189.319,2071.8899,2945.97,0.9857,-142442.9,19991.9,-142442.9,19991.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,48,1,1,CA1413.00.01,48,48,0,0,2938.79,42713.3984,28.1233,47.7844,-8.8601,615.455,-201.469,2087.4099,2929.9399,0.9857,-40130.8999,-139796.9,-40130.8999,-139796.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,49,1,1,CA1413.00.01,49,49,0,0,2853.5901,43415.6016,26.9227,45.8539,-12.8123,607.897,-200.958,2487.3401,2512.9399,0.9876,134357.9,-59828.9,134357.9,-59828.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,1,2,1,CA1413.00.02,1,1,0,0,2618.3799,44540,31.0862,51.644,2.7471,635.613,-205.495,2424.7,2573.6799,0.969,0,0,0,0,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,2,2,1,CA1413.00.02,2,2,0,0,2640.5901,47771.1992,27.4835,46.8481,-0.4866,573.594,-183.233,2425.79,2572.6399,0.9828,2939.9,21020.9,2939.9,21020.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,3,2,1,CA1413.00.02,3,3,0,0,2637.3201,45923.6016,29.338,49.5731,3.1441,603.929,-194.478,2426.3301,2572.21,0.9804,-28811.9,8231.9,-28811.9,8231.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,4,2,1,CA1413.00.02,4,4,0,0,2531.6299,47291.1992,27.2346,45.3765,-1.2648,583.576,-191.618,2452.6499,2545.6899,0.9782,-14993.9,-33515.9,-14993.9,-33515.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,5,2,1,CA1413.00.02,5,5,0,0,2573.6699,49521.6992,24.5491,43.3896,-6.9968,539.577,-173.015,2439.2,2558.9299,0.9844,36014.9,-22490.9,36014.9,-22490.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,6,2,1,CA1413.00.02,6,6,0,0,2692.9399,45399.1992,28.6731,48.2457,-2.7814,603.755,-194.842,2383,2615.22,0.9818,30428.9,36308.9,30428.9,36308.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,7,2,1,CA1413.00.02,7,7,0,0,2698.02,48034.6992,25.5292,43.6288,-6.2872,559.104,-181.633,2495.52,2505.1599,0.9859,-34838.9,38660.9,-34838.9,38660.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,8,2,1,CA1413.00.02,8,8,0,0,2582.47,45657.3984,28.7671,47.3105,0.3047,609.573,-201.096,2474.8601,2524.27,0.9768,-46598.9,-31457.9,-46598.9,-31457.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,9,2,1,CA1413.00.02,9,9,0,0,2559.49,47431.5,26.1974,44.5615,-4.9806,568.336,-184.692,2451.3799,2546.8301,0.9809,26312.9,-53948.9,26312.9,-53948.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,10,2,1,CA1413.00.02,10,10,0,0,2727.47,44877.1992,28.5852,48.5098,-3.2172,603.822,-194.632,2326.5,2672.55,0.9846,60563.9,19697.9,60563.9,19697.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,11,2,1,CA1413.00.02,11,11,0,0,2794.1799,45236.3008,28.1935,47.8209,-5.9799,598.367,-192.026,2315.9099,2683.29,0.9835,-11612.9,66149.9,-11612.9,66149.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,12,2,1,CA1413.00.02,12,12,0,0,2735.5901,44775.8008,28.724,48.162,-4.2947,611.723,-198.795,2407.27,2591.1799,0.9837,-70265.9,-2498.9,-70265.9,-2498.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,13,2,1,CA1413.00.02,13,13,0,0,2627.4299,46591.5,27.0704,45.7015,-5.329,584.91,-190.372,2457.2,2541.7,0.9823,-7643.9,-73058.9,-7643.9,-73058.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,14,2,1,CA1413.00.02,14,14,0,0,2754.8601,46201.3008,27.0276,46.5531,-7.0157,579.643,-185.38,2370.8401,2627.48,0.9859,74234.9,-18521.9,74234.9,-18521.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,15,2,1,CA1413.00.02,15,15,0,0,2921.75,45632.3008,27.158,46.8426,-6.7483,586.134,-188.986,2192.0601,2814.2,0.9859,29693.9,73646.9,29693.9,73646.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,16,2,1,CA1413.00.02,16,16,0,0,2931.55,45498.3008,27.7456,47.8307,-3.9889,594.073,-192.203,2232.6699,2770.76,0.987,-71147.9,41159.9,-71147.9,41159.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,17,2,1,CA1413.00.02,17,17,0,0,2757.98,45431.5,28.5985,48.1175,-3.6141,609.086,-198.192,2440.48,2558.4299,0.9829,-52184.9,-66884.9,-52184.9,-66884.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,18,2,1,CA1413.00.02,18,18,0,0,2790.1799,44950.6992,28.6518,49.265,-3.8201,602.53,-192.692,2304.71,2695.21,0.9835,60710.9,-62915.9,60710.9,-62915.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,19,2,1,CA1413.00.02,19,19,0,0,2984.6299,43963.5,28.6926,48.512,-3.2376,612.329,-199.825,2073.8799,2945.6599,0.9852,72764.9,52919.9,72764.9,52919.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,20,2,1,CA1413.00.02,20,20,0,0,3034.6499,46085.1016,26.3291,45.649,-8.076,578.256,-187.646,1984.86,3043.6699,0.9879,-43364.9,81731.9,-43364.9,81731.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,21,2,1,CA1413.00.02,21,21,0,0,2930.4099,45606.1016,27.5303,47.1706,-5.6194,590.206,-190.463,2282.0801,2719.3601,0.9872,-89228.9,-32486.9,-89228.9,-32486.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,22,2,1,CA1413.00.02,22,22,0,0,2875.8799,45373.3008,27.1551,46.2045,-6.1244,586.898,-190.407,2289.7,2711.6599,0.9858,20285.9,-95108.9,20285.9,-95108.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,23,2,1,CA1413.00.02,23,23,0,0,3073.4199,45015.1992,27.1734,47.6266,-7.6925,591.625,-190.97,1989.59,3038.24,0.987,99224.9,6908.9,99224.9,6908.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,24,2,1,CA1413.00.02,24,24,0,0,3190.99,45447.1016,25.894,45.4349,-6.7668,570.054,-185.329,1799.65,3257.2,0.9876,7055.9,101576.9,7055.9,101576.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,25,2,1,CA1413.00.02,25,25,0,0,3159.3,44458.6992,27.5552,47.8315,-4.7965,593.554,-192.52,1796.8,3259.24,0.985,-101723.9,21608.8999,-101723.9,21608.8999,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,26,2,1,CA1413.00.02,26,26,0,0,2993.76,44731.8984,27.4624,47.1356,-8.2512,599.133,-194.905,2269.55,2732.75,0.9868,-36308.9,-99665.8999,-36308.9,-99665.8999,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,27,2,1,CA1413.00.02,27,27,0,0,3022.1599,44988.5,27.0134,47.2971,-6.3355,583.413,-187.644,2057,2963.49,0.9872,95549.8999,-50861.9,95549.8999,-50861.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,28,2,1,CA1413.00.02,28,28,0,0,3297.6201,45483.8984,25.662,44.9774,-5.131,567.663,-186.314,1673.25,3398.6101,0.9837,64826.9,89228.9,64826.9,89228.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,29,2,1,CA1413.00.02,29,29,0,0,3239.8301,44091,27.9688,48.181,-3.8054,603.362,-197.575,1595.45,3483.4099,0.9816,-80702.9,78056.9,-80702.9,78056.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,30,2,1,CA1413.00.02,30,30,0,0,3033.98,44173.5,28.0268,47.6039,-5.2792,606.842,-198.915,1995.37,3033.27,0.9874,-90110.9,-70412.8999,-90110.9,-70412.8999,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,31,2,1,CA1413.00.02,31,31,0,0,2995.79,44220.6016,27.953,48.182,-5.7185,596.877,-191.973,2023.7,3001.2,0.9843,58064.9,-100694.9,58064.9,-100694.9,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,32,2,1,CA1413.00.02,32,32,0,0,3212.22,44681,27.1527,47.1415,-4.1473,586.681,-190.936,1633.67,3441.8,0.9821,109514.9,44246.8999,109514.9,44246.8999,1,Pass
1,TD-CMP\G04\WTW Bonding\OX_SiCN_BONDING_BSG01,6/6/2024 4:59:54 PM,CA1413.00,1,33,2,1,CA1413.00.02,33,33,0,0,3249.7,47262.6016,26.5809,37.9452,-42.96,767.451,-289.26,3467.49,1616.03,0.9817,-29105.9,116423.9,-29105.9,116423.9,1,Pass
